Name,Date,Tags,Sector,Countries,Ransomware Group,Data Type,Sector Type
www.boingographics.com,29/7/2024,accounting documents,Construction,United States,Play,Accounting/Audit data,construction
www.festspielhaus.de,29/7/2024,personal information,Entertainment,Germany,Play,Personal/User data,entertainment
www.festspielhaus.de,29/7/2024,client documents,Entertainment,Germany,Play,Customer data,entertainment
www.festspielhaus.de,29/7/2024,financial records,Entertainment,Germany,Play,Financial data,entertainment
www.festspielhaus.de,29/7/2024,payroll data,Entertainment,Germany,Play,Payment/Payroll/Billing data,entertainment
www.alberlaw.com,29/7/2024,law documents,Legal,United States,Play,Legal data,legal
www.alberlaw.com,29/7/2024,client documents,Legal,United States,Play,Customer data,legal
www.alberlaw.com,29/7/2024,employee documents,Legal,United States,Play,Employee data,legal
www.hartz.com,29/7/2024,customer documents,Animal ,United States,Play,Customer data,animal 
www.hartz.com,29/7/2024,financial documents,Animal ,United States,Play,Financial data,animal 
www.hartz.com,29/7/2024,employee documents,Animal ,United States,Play,Employee data,animal 
www.qualityenclosures.com,29/7/2024,customer documents,Construction,United States,Play,Customer data,construction
www.qualityenclosures.com,29/7/2024,accounting dcouments,Construction,United States,Play,Accounting/Audit data,construction
verwarmingheyndrickx.be,30/7/2024,invoice documents,Service Provider,Belgium,RansomHub,Accounting/Audit data,Service Provider
verwarmingheyndrickx.be,30/7/2024,customer documents,Service Provider,Belgium,RansomHub,Customer data,Service Provider
www.bahia-principe.com,31/7/2024,commercial documents,Tourism,Dominican Republic,RansomHub,commercial documents,tourism
www.bahia-principe.com,31/7/2024,incident reports,Tourism,Dominican Republic,RansomHub,incident reports,tourism
www.bahia-principe.com,31/7/2024,tax reports,Tourism,Dominican Republic,RansomHub,Tax data,tourism
www.bahia-principe.com,31/7/2024,guest contracts,Tourism,Dominican Republic,RansomHub,Contractor data,tourism
www.bahia-principe.com,31/7/2024,casino documents,Tourism,Dominican Republic,RansomHub,casino documents,tourism
www.bahia-principe.com,31/7/2024,hr documents,Tourism,Dominican Republic,RansomHub,HR data,tourism
www.bahia-principe.com,31/7/2024,procurement documents,Tourism,Dominican Republic,RansomHub,procurement documents,tourism
nydj.com,31/7/2024,not yet published,Retail,United States,RansomHub,not yet published,retail
wgma.org,31/7/2024,contracts,Maritime,United States,RansomHub,Contractor data,maritime
wgma.org,31/7/2024,hr documents,Maritime,United States,RansomHub,HR data,maritime
wgma.org,31/7/2024,email exchanges,Maritime,United States,RansomHub,email exchanges,maritime
wgma.org,31/7/2024,payroll documents,Maritime,United States,RansomHub,Payment/Payroll/Billing data,maritime
wgma.org,31/7/2024,project documents,Maritime,United States,RansomHub,Project data,maritime
wgma.org,31/7/2024,access files,Maritime,United States,RansomHub,access files,maritime
wgma.org,31/7/2024,accounting documents,Maritime,United States,RansomHub,Accounting/Audit data,maritime
effinghamschools.com,1/8/2024,not yet published,Education,United States,RansomHub,not yet published,education
mcdowallaffleck.com.au,1/8/2024,project blueprints,Engneering,Australia,RansomHub,Construction data,engneering
mcdowallaffleck.com.au,1/8/2024,quota documents,Engneering,Australia,RansomHub,quota documents,engneering
mcdowallaffleck.com.au,1/8/2024,insurance documents,Engneering,Australia,RansomHub,Insurance data,engneering
mcdowallaffleck.com.au,1/8/2024,tender and contract documents,Engneering,Australia,RansomHub,Contractor data,engneering
mcdowallaffleck.com.au,1/8/2024,client and partner information,Engneering,Australia,RansomHub,Customer data,engneering
mcdowallaffleck.com.au,1/8/2024,personal identifications,Engneering,Australia,RansomHub,Personal/User data,engneering
modernceramics.com,2/8/2024,financial documents,Manufacturing,United States,RansomHub,Financial data,manufacturing
modernceramics.com,2/8/2024,employers lists,Manufacturing,United States,RansomHub,employers lists,manufacturing
modernceramics.com,2/8/2024,customer information,Manufacturing,United States,RansomHub,Customer data,manufacturing
retaildatallc.com,2/8/2024,not yet published,Data Analytics,United States,RansomHub,not yet published,data analytics
Direct Mail,5/8/2024,confidential,Technology,Australia,IncRansom,Confidential data,technology
DBK Partners,5/8/2024,confidential,Legal,Czechia,IncRansom,Confidential data,legal
DBK Partners,5/8/2024,financial data,Legal,Czechia,IncRansom,Financial data,legal
DBK Partners,5/8/2024,contracts,Legal,Czechia,IncRansom,Contractor data,legal
DBK Partners,5/8/2024,financial data,Legal,Czechia,IncRansom,Financial data,legal
DBK Partners,5/8/2024,customer's data,Legal,Czechia,IncRansom,Customer data,legal
pierrediamonds.com.au,6/8/2024,private documents,Jewelry,Australia,RansomHub,Confidential data,jewelry
pierrediamonds.com.au,6/8/2024,databases,Jewelry,Australia,RansomHub,databases,jewelry
pierrediamonds.com.au,6/8/2024,webmails,Jewelry,Australia,RansomHub,webmails,jewelry
pierrediamonds.com.au,6/8/2024,source code,Jewelry,Australia,RansomHub,source code,jewelry
www.sobha.com,6/8/2024,not yet published,Real Estate,India,RansomHub,not yet published,real estate
hudsoncivil.com.au,7/8/2024,not yet published,Construction,Australia,RansomHub,not yet published,construction
amplicon.com,7/8/2024,confidentiality agreement,Industrial Automation,United Kingdom,RansomHub,Confidential data,industrial automation
amplicon.com,7/8/2024,invoices,Industrial Automation,United Kingdom,RansomHub,Accounting/Audit data,industrial automation
amplicon.com,7/8/2024,customer information,Industrial Automation,United Kingdom,RansomHub,Customer data,industrial automation
inv-dar.com,8/8/2024,not yet published,Financial Services,Kuwait,RansomHub,not yet published,Service Provider
golfoy.com,8/8/2024,private documents,Retail,India,RansomHub,Confidential data,retail
golfoy.com,8/8/2024,databases,Retail,India,RansomHub,databases,retail
golfoy.com,8/8/2024,webmails,Retail,India,RansomHub,webmails,retail
golfoy.com,8/8/2024,source code,Retail,India,RansomHub,source code,retail
rationalenterprise.com,8/8/2024,not yet published,Saas,United States,RansomHub,not yet published,saas
kempe.com.au,9/8/2024,recruitment documents,Engineering,Australia,RansomHub,recruitment documents,engineering
kempe.com.au,9/8/2024,legal documents,Engineering,Australia,RansomHub,Legal data,engineering
kempe.com.au,9/8/2024,project quotations,Engineering,Australia,RansomHub,Project data,engineering
kempe.com.au,9/8/2024,employee numbers,Engineering,Australia,RansomHub,Employee data,engineering
kempe.com.au,9/8/2024,invoices,Engineering,Australia,RansomHub,Accounting/Audit data,engineering
kempe.com.au,9/8/2024,customer documents,Engineering,Australia,RansomHub,Customer data,engineering
kempe.com.au,9/8/2024,payrolls,Engineering,Australia,RansomHub,Payment/Payroll/Billing data,engineering
kempe.com.au,9/8/2024,personal identification,Engineering,Australia,RansomHub,Personal/User data,engineering
kempe.com.au,9/8/2024,system compliance,Engineering,Australia,RansomHub,system compliance,engineering
kempe.com.au,9/8/2024,emails exchanges,Engineering,Australia,RansomHub,emails exchanges,engineering
kempe.com.au,9/8/2024,purchase orders,Engineering,Australia,RansomHub,Order data,engineering
kempe.com.au,9/8/2024,inventory documents,Engineering,Australia,RansomHub,inventory documents,engineering
alliuminteriors.co.nz,9/8/2024,private documents,Renovation,New Zealand,RansomHub,Confidential data,renovation
alliuminteriors.co.nz,9/8/2024,databases,Renovation,New Zealand,RansomHub,databases,renovation
alliuminteriors.co.nz,9/8/2024,webmails,Renovation,New Zealand,RansomHub,webmails,renovation
alliuminteriors.co.nz,9/8/2024,source code,Renovation,New Zealand,RansomHub,source code,renovation
www.premiertechnology.net,11/8/2024,it documents,Design,United States,Play,it documents,design
www.premiertechnology.net,11/8/2024,infrastructure documents,Design,United States,Play,infrastructure documents,design
Jeffersoncountyclerk.org,11/8/2024,account balances,Public Administration,United States,RansomHub,Accounting/Audit data,public administration
Jeffersoncountyclerk.org,11/8/2024,usernames & passwords,Public Administration,United States,RansomHub,Personal/User data,public administration
Jeffersoncountyclerk.org,11/8/2024,clerk files,Public Administration,United States,RansomHub,clerk files,public administration
Jeffersoncountyclerk.org,11/8/2024,report documents,Public Administration,United States,RansomHub,report documents,public administration
Jeffersoncountyclerk.org,11/8/2024,financial documents,Public Administration,United States,RansomHub,Financial data,public administration
Jeffersoncountyclerk.org,11/8/2024,insurance documents,Public Administration,United States,RansomHub,Insurance data,public administration
Jeffersoncountyclerk.org,11/8/2024,investigation of employee documents,Public Administration,United States,RansomHub,Employee data,public administration
Jeffersoncountyclerk.org,11/8/2024,budget documents,Public Administration,United States,RansomHub,budget documents,public administration
Jeffersoncountyclerk.org,11/8/2024,contracts,Public Administration,United States,RansomHub,Contractor data,public administration
Jeffersoncountyclerk.org,11/8/2024,2024 elections,Public Administration,United States,RansomHub,2024 elections,public administration
Jeffersoncountyclerk.org,11/8/2024,board meeting minutes,Public Administration,United States,RansomHub,board meeting minutes,public administration
naturalcuriosities.com,11/8/2024,private documents,Art,United States,RansomHub,Confidential data,art
naturalcuriosities.com,11/8/2024,databases,Art,United States,RansomHub,databases,art
naturalcuriosities.com,11/8/2024,webmails,Art,United States,RansomHub,webmails,art
naturalcuriosities.com,11/8/2024,source code,Art,United States,RansomHub,source code,art
www.sree.com,11/8/2024,not yet published,Technology,United States,Play,not yet published,technology
www.bridgerins.com,11/8/2024,not yet published,Tourism,United States,Play,not yet published,tourism
www.bitecsmi.com,11/8/2024,not yet published,Insurance,United States,Play,not yet published,insurance
bedford.k12.oh.us,12/8/2024,budget documents,Education,United States,RansomHub,budget documents,education
bedford.k12.oh.us,12/8/2024,email exchanges,Education,United States,RansomHub,email exchanges,education
bedford.k12.oh.us,12/8/2024,financial documents,Education,United States,RansomHub,Financial data,education
welevelup.com,13/8/2024,personal identification,Healthcare,United States,RansomHub,Personal/User data,healthcare
welevelup.com,13/8/2024,patient's records,Healthcare,United States,RansomHub,Patient/Medical data,healthcare
police.praca.gov.pl,14/8/2024,not yet published,Law Enforcement,Poland,RansomHub,not yet published,law enforcement
imobesidade.com.br,14/8/2024,patient records,Healthcare,Brazil,RansomHub,Patient/Medical data,healthcare
imobesidade.com.br,14/8/2024,personal identifications,Healthcare,Brazil,RansomHub,Personal/User data,healthcare
ljglaw.com,14/8/2024,not yet published,Legal,United States,RansomHub,not yet published,legal
Cleveland City School District,14/8/2024,financial data,Education,United States,IncRansom,Financial data,education
Cleveland City School District,14/8/2024,confidential,Education,United States,IncRansom,Confidential data,education
Cleveland City School District,14/8/2024,incidents,Education,United States,IncRansom,incidents,education
Cleveland City School District,14/8/2024,hr,Education,United States,IncRansom,HR data,education
www.qigroup.ca,15/8/2024,personal information,Manufacturing,Canada,Play,Personal/User data,manufacturing
www.qigroup.ca,15/8/2024,client documents,Manufacturing,Canada,Play,Customer data,manufacturing
www.qigroup.ca,15/8/2024,financial records,Manufacturing,Canada,Play,Financial data,manufacturing
www.fashions-uk.com,15/8/2024,accounting information,Retail,United Kingdom,Play,Accounting/Audit data,retail
www.atwoodcherny.com,15/8/2024,client information,Legal,United States,RansomHub,Customer data,legal
nrcollecties.nl,15/8/2024,not yet published,Jewelry,Netherlands,RansomHub,not yet published,jewelry
www.aaconsultinc.com,15/8/2024,not yet published,Consulting,United States,RansomHub,not yet published,Service Provider
www.isnart.it,15/8/2024,not yet published,Tourism,Italy,RansomHub,not yet published,tourism
www.imagepointe.com,16/8/2024,invoice documents,Transportation,United States,Play,Accounting/Audit data,Service Provider
www.imagepointe.com,16/8/2024,client documents,Transportation,United States,Play,Customer data,Service Provider
www.vinakom.com,16/8/2024,not yet published,Telecommunications,United States,RansomHub,not yet published,Telecommunications
www.grassmidtransportinc.com,16/8/2024,design documents,Retail,United States,Play,design documents,retail
www.grassmidtransportinc.com,16/8/2024,financial documents,Retail,United States,Play,Financial data,retail
www.manotherm.ie,17/8/2024,not yet published,Industrial Automation,Ireland,RansomHub,not yet published,industrial automation
www.netconfig.co.za,17/8/2024,not yet published,Technology,South Africa,RansomHub,not yet published,technology
www.regentcaravans.com.au,17/8/2024,not yet published,Recreational Vehicles,Australia,RansomHub,not yet published,recreational vehicles
glasstile.com,17/8/2024,financial documents,Glass Tiles,United States,RansomHub,Financial data,glass tiles
glasstile.com,17/8/2024,confidential documents,Glass Tiles,United States,RansomHub,Confidential data,glass tiles
glasstile.com,17/8/2024,databases,Glass Tiles,United States,RansomHub,databases,glass tiles
www.rudaauto.com,18/8/2024,business documents,Retail,United States,Play,Company data,retail
UNITE HERE!,18/8/2024,confidential,Labor Union,United States,IncRansom,Confidential data,labor union
UNITE HERE!,18/8/2024,financial data,Labor Union,United States,IncRansom,Financial data,labor union
UNITE HERE!,18/8/2024,customer's data,Labor Union,United States,IncRansom,Customer data,labor union
ccsdschools.com,18/8/2024,budget documents,Education,United States,RansomHub,budget documents,education
ccsdschools.com,18/8/2024,personal identifications,Education,United States,RansomHub,Personal/User data,education
ccsdschools.com,18/8/2024,beneficiary reports,Education,United States,RansomHub,beneficiary reports,education
ccsdschools.com,18/8/2024,payroll documents,Education,United States,RansomHub,Payment/Payroll/Billing data,education
Village Building,18/8/2024,confidential,Construction,Australia,IncRansom,Confidential data,construction
Vicon,18/8/2024,confidential,Electronics,United States,IncRansom,Confidential data,electronics
www.qeo.com,19/8/2024,insurance documents,F&B,United States,Play,Insurance data,f&b
www.qeo.com,19/8/2024,customer documents,F&B,United States,Play,Customer data,f&b
www.schokinag.com,19/8/2024,business process documents,Retail,Germany,Play,Company data,retail
www.schokinag.com,19/8/2024,financial documents,Retail,Germany,Play,Financial data,retail
www.schokinag.com,19/8/2024,accounting documents,Retail,Germany,Play,Accounting/Audit data,retail
www.bechtoldfenster.de,19/8/2024,not yet published,Accounting,Germany,Play,not yet published,accounting
www.zsb.ca,19/8/2024,accounting information,Automotive ,Canada,Play,Accounting/Audit data,automotive 
www.zsb.ca,19/8/2024,financiali documents,Automotive ,Canada,Play,Financial data,automotive 
www.zsb.ca,19/8/2024,employee documents,Automotive ,Canada,Play,Employee data,automotive 
www.mainvest.com,19/8/2024,not yet published,Transportation,United States,Play,not yet published,Service Provider
blowerdempsay.com,20/8/2024,not yet published,Packaging,United States,RansomHub,not yet published,packaging
inlighten.net,20/8/2024,not yet published,Digital Media,United States,RansomHub,not yet published,digital media
www.banhampoultry.co.uk,21/8/2024,not yet published,Poultry,United Kingdom,RansomHub,not yet published,poultry
saudi arabia(general secretariat of the military service council),22/8/2024,not yet published,Military,Saudi Arabia,RansomHub,not yet published,military
Blueline Associates,22/8/2024,confidential,Construction,United States,IncRansom,Confidential data,construction
Blueline Associates,22/8/2024,customer's data,Construction,United States,IncRansom,Customer data,construction
BPG Building Partners Group,22/8/2024,confidential,Construction,Germany,IncRansom,Confidential data,construction
prasarana.com.my,25/8/2024,staffs resignations,Transportation,Malaysia,RansomHub,Employee data,Service Provider
prasarana.com.my,25/8/2024,budget documents,Transportation,Malaysia,RansomHub,budget documents,Service Provider
prasarana.com.my,25/8/2024,card access,Transportation,Malaysia,RansomHub,Payment/Payroll/Billing data,Service Provider
prasarana.com.my,25/8/2024,product specifications,Transportation,Malaysia,RansomHub,Product data,Service Provider
prasarana.com.my,25/8/2024,payment documents,Transportation,Malaysia,RansomHub,Payment/Payroll/Billing data,Service Provider
prasarana.com.my,25/8/2024,personal documents,Transportation,Malaysia,RansomHub,Personal/User data,Service Provider
www.continental.aero,26/8/2024,not yet published,Financial Services,United States,Play,not yet published,Service Provider
www.fbiconstruction.com,26/8/2024,client information,Aerospace,United States,Play,Customer data,aerospace
www.fbiconstruction.com,26/8/2024,bank statement,Aerospace,United States,Play,Bank data,aerospace
www.fbiconstruction.com,26/8/2024,financial documents,Aerospace,United States,Play,Financial data,aerospace
www.fbiconstruction.com,26/8/2024,invoice documents,Aerospace,United States,Play,Accounting/Audit data,aerospace
www.kool-air-inc.com,26/8/2024,not yet published,Construction,Canada,Play,not yet published,construction
www.influencecommunication.com,26/8/2024,not yet published,Manufacturing,Canada,Play,not yet published,manufacturing
htsusa.com,26/8/2024,not yet published,Technology,United States,RansomHub,not yet published,technology
www.spie-tec.de,26/8/2024,contracts,Engineering,Germany,RansomHub,Contractor data,engineering
www.spie-tec.de,26/8/2024,confidential engine documents,Engineering,Germany,RansomHub,Confidential data,engineering
www.spie-tec.de,26/8/2024,bank transfers documents,Engineering,Germany,RansomHub,Bank data,engineering
rainierarms.com,26/8/2024,not yet published,Firearms,United States,RansomHub,not yet published,firearms
www.electriforce.com,27/8/2024,financial documents,Service Provider,United States,RansomHub,Financial data,Service Provider
www.electriforce.com,27/8/2024,customers and parters details,Service Provider,United States,RansomHub,Customer data,Service Provider
www.electriforce.com,27/8/2024,bank statements,Service Provider,United States,RansomHub,Bank data,Service Provider
www.electriforce.com,27/8/2024,human resource documents,Service Provider,United States,RansomHub,HR data,Service Provider
www.electriforce.com,27/8/2024,company documents,Service Provider,United States,RansomHub,Company data,Service Provider
www.electriforce.com,27/8/2024,adminstrators documents,Service Provider,United States,RansomHub,Admin data,Service Provider
