Name,Date,Tags,Sector,Countries
ids-michigan.com,29/02/2024,"corporate data, project data, cad and drawings, personal data",Architecture,United States
teaspa.it,29/02/2024,"corporate data, employee personal data, project data",Energy,Italy
active-pcb.com,29/02/2024,"corporate data, personal users data, developer data, sales data, souce code",Manufacturing,England
synlab.com,29/02/2024,"corporate data, users personal data, anatomy), customer personal data, medical analysis (spermograms, toxicology",Healthcare,Germany
ayesa.com,29/02/2024,"cad, corporate data, employee personal data, project data",Consulting,Spain
www.seirus.com,03/03/2024,"Customer Information, Invoice Documents",Retail,United States
www.merchant.id,06/03/2024,Not Yet Published,Technology,Indonesian
www.farmersrice.com,07/03/2024,"Personal Information, Client Information, Internal Documents",Agriculture,United States
www.omicrongranite.net,07/03/2024,Not Yet Published,Construction,United States
www.clabots.be,07/03/2024,"Invoice Documents, Client Information ",Construction,Belgium
www.gdbinternational.com,07/03/2024,"Personal Information, Client Information, Internal Documents",Environmental  ,United States
www.seadeo.com,07/03/2024,Not Yet Published,Technology,United States
www.epibreads.com,07/03/2024,"Financial Documents, Employee Documents",F&B,United States
www.precom-inc.com,07/03/2024,"IT Documents, Contract Documents, Client Information",Technology,United States
www.spmundi.com.br,07/03/2024,"Customer Information, Documents, Operation Documents",Currency Exchange,Brazil
www.microchip.com,07/03/2024,"Personal Information, Client Documents, Financial Records, Payroll Data, Contracts, Tax documents.",Manufacturing,United States
www.pasolutions.com,07/03/2024,"Insurance Documents, Client Documents",Insurance,United States
www.rcg-llc.com,07/03/2024,Not Yet Published,Real Estate,United States
www.abcparts.net,07/03/2024,"Client Information, Bank Statement, Employee Information, Financial Documents, Invoice Documents",Automotive ,United States
www.bakersfield.com,07/03/2024,Not Yet Published,Media,United States
www.craingroup.com,07/03/2024,"Blueprints, Project Documents, IT Documents",Construction,United States
www.siea.sk,07/03/2024,Not Yet Published,Government,Slovakia
www.armourcoatings.com,07/03/2024,"Accounting Documents, Contracts, Legal Information",Manufacturing,United States
www.universalpure.com,07/03/2024,Not Yet Published,Manufacturing,United States
www.dvttechnologyltd.com,08/03/2024,"Customer Information, Payment Documents, Personal Identifications",Retail,Ireland
www.rekamy.com,08/03/2024,"Customer Information, Payment Documents, Personal Identifications",Saas,Malaysia
www.go4kora.tv,09/03/2024,"Customer Information, Customer Documents",Sports,Tuvalu
www.thesmsgroup.com,09/03/2024,"IT Documents, Invoice Documents",Technology,United States
www.eriemeats.com,10/03/2024,Not Published Yet,Manufacturing,Canada
www.scadea.com,10/03/2024,"MySQL Accounts, Personal Identifications, Private Records",Consulting,United States
www.computan.com,11/03/2024,"Customer Information, Personal Identifications, Payment Documents",Saas,United States
cmactrans.com,12/03/2024,"employee personal data, financial data, hr data",Transportation and Logistics,United States
cavotec.com,12/03/2024,"accounting and financial data, employee personal data, hr data, engineering and projects, technical r&d and drawings",Engineering,Switzerland
bdcm.com,12/03/2024,"corporate data, customer data, employee personal data",Financial Services,United States
www.kovra.com.my,12/03/2024,"Personal Identifications, Customer Information, Payment Documents",Manufacturing,Malaysia
thelawrencegroup.com,12/03/2024,"employee personal data, project data, drivers lisence and passports",Architecture,United States
true.co.uk,12/03/2024,"clients data, employee personal data, financial data, group data, legal data",Legal,United Kingdom
