Name,Date,Tags,Sector,Countries
rentacrate.com,27/3/2024,"employee personal data, personal documents, users and public data",Logistics,United States
gfgcapital.com,27/3/2024,"corporate data, quickbooks accounting documents",Financial Services,United States
jaytexgroup.com,27/3/2024,"accounting data, employee personal data, hr data, payroll",Retail,Canada
duvel.com | boulevard.com,27/3/2024,"accounting data, employee personal data, hr data",F&B,Belgium
keystonetech.com,27/3/2024,"accounting data, employee personal data, financial data, hr data, it data, scans",Electronics,United States
pdq-airspares.co.uk,27/3/2024,"corporate data, employee personal data",Aerospace,United Kingdom
sierralobo.com,27/3/2024,"accounting data, employee personal data, payroll, project data",Aerospace,United States
theshootingwarehouse.com,27/3/2024,"accounting data, department data, employee personal data, hr data, payroll",Firearms,United States
pctinternational.com,29/3/2024,"employee personal data, financial data, hr data",Telecommunication,United States
mjcelco.com,29/3/2024,"drawings, employee personal data, financial data, project and engineering data",Manufacturing,United States
organizedliving.com,1/4/2024,"accounting documents, corporate data, employee personal data, engineering data, hr data",Retail,United States
amerlux.com,9/4/2024,"corporate data, employee personal data, drawings and engineering",Service Provider,United States
ero-etikett.com,9/4/2024,"employee personal data, financial data",Manufacturing,Germany
carolinafoodsinc.com,9/4/2024,"accounting documents, corporate data, users personal data",F&B,United States
lagunitas.com,9/4/2024,"corporate data, employee personal data",Beverage,United States
bulwarkpestcontrol.com,9/4/2024,"contracts and agreements, corporate data",Service Provider,United States
dgse.com,9/4/2024,"accounting data, corporate data, employee personal data",Jewlery,United States
prodrive.com,9/4/2024,"employee personal data, financial data, current and old), holding and corporate data, projects and r&d (new",Automotive,United Kingdom
otrwheel.com,9/4/2024,"customer data, engineering data, financial data, hr data, employee personal data and password files",Automotive,United States
northamericansigns.com,9/4/2024,"accounting data, cad, corporate data, design documents, employee personal data",Commercial Signage,United States
fpdcompany.com,9/4/2024,"accounting data, engineering data, engineering employees personal data, finance and legal data",Aerospace,United States
vilis.com,9/4/2024,"employee personal data, financial data, incident reports",F&B,Australia
flynncompanies.com,10/4/2024,"corporate data, employee personal data",Service Provider,Canada
willislease.com,10/4/2024,"corporate data, customer data, employee personal data, executive level data, hr data, nda, finance and accounting",Aviation,United States
logistasolutions.com,10/4/2024,"department data, employee personal data",Technology,United States
igf-inc.com,18/4/2024,"employee personal data, hr data, financial tax and payroll data",Distributor,United States
nfllp.com,19/4/2024,"corporate data, employee personal data, insurance docuemnts, passport information, ssns",Legal,United States
interluxury.com,19/4/2024,"corporate data, design documents",Retail,Switzerland
imperialtrading.com,19/4/2024,"accounting documents, executive level data, hr data",Retail,United States
linksunlimited.com,19/4/2024,"corporate data, payroll, accounting docuemnts, user shared data",Recruitment,United States
creativeenvironments.com,19/4/2024,"employee personal data, hr data, payroll, account information, customer files",Landscaping,United States
elmatic.de,24/4/2024,"contracts and agreements, corporate data",Engineering,Germany
cpacsystems.se,30/4/2024,"employee personal data, financial data, technical documentation",Automotive,Sweden
xcelbrands.com,3/5/2024,"accounting documents, employee personal data, executive level data, private scans",Retail,United States
gfad.de,4/5/2024,"financial data, employee shared folders, source code",Consulting,Germany
activeconceptsllc.com,4/5/2024,"accounting documents, employee personal data, hr data, r&d",Cosmetics,United States
hvd.host,4/5/2024,"accounting documents, employee personal data, financial data, legal documents",Manufacturing,Australia
fairmontfcu.com,4/5/2024,"corporate data, legal documents, scans, loans, user data",Financial Services,United States
alanritchey.com,4/5/2024,"accounting documents, employee personal data, hr data, legal data",Construction,United States
haas4.com,4/5/2024,"company data, employee personal data, projects data",Construction,United States
fcw.ch,4/5/2024,"accounting documents, corporate data, hr data",Retail,Switzerland
scullionlaw.com,4/5/2024,"company data, employee personal data",Legal,United Kingdom
goodinabernathy.com,4/5/2024,"corporate data, employee personal data, case data, confidential agreements",Legal,United States
zircodata.com,4/5/2024,"employee personal data, financial data, it data, nda, rm/rmcorp",Document Management and Storage Services,Australia
dilweg.com,20/5/2024,"employee personal data, financial data, scans, qbooks accounting data",Financial Services,United States
birchallfoodservice.co.uk,21/5/2024,"accounts information, corporate data, employee personal data, hr data, payroll",F&B,United Kingdom
usmerchants.com,21/5/2024,"corporate data, employee personal data, hr data, payroll, scans",Packaging and Distribution,United States
climatech.com,21/5/2024,"accounting and financial data, hr data, payroll, employees folders and documents",Construction,United States
team.jobs,21/5/2024,"employee personal data, hr data",Recruitment,Switzerland
pacifica.co.uk,31/5/2024,"corporate data, customer documents, personal documents",Service Provider,United Kingdom
leonardssyrups.com,6/6/2024,"corporate data, employee personal data, financial data, hr data",F&B,United States
globalrescue.com,6/6/2024,"accounting documents, hr data, legal documents",Service Provider,United States
btl.info,6/6/2024,"corporate data, financial documents, personal documents, customer docuements",Service Provider,Germany
patriziapepe.com,6/6/2024,"corporate data, hr data, personal user folders",Retail,Italy
ffppkg.co.uk,7/6/2024,"departments data, hr data, accounts, engineering, shared folders",Packaging,United Kingdom
barberemerson.com,7/6/2024,"corporate data, customer documents, personal user folders",Legal,United States
asecos.com,17/6/2024,"corporate data, employee personal data, qa data",Security,Germany
sipicorp.com,17/6/2024,"accounting data, corporate data, employee personal data",Metals and Mining,United States
