Name,Countries,Date,Tags,Sector
Delano Adult School (DJUHSD.ORG),United States,13/5/2024,"Confidential, Contracts, Financial data, Customer's data, HR, Incidents",Education
City of Buckeye (buckeyeaz.gov),United States,13/5/2024,"Contracts, Confidential, Financial data, Incidents, HR",Government
drmsusa.com,United States,14/5/2024,Not Yet Published,Technology
Seaman's Mechanical,United States,18/5/2024,"Contracts, Financial data, Contracts, Financial data, Confidential, Customer's data",Service Provider
Helapet Ltd,United Kingdom,18/5/2024,Not Yet Published,Healthcare
Eden Project Ltd,United Kingdom,18/5/2024,Not Yet Published,Education
allied-mechanical-services-inc,United States,20/5/2024,"Confidential, Customer's data",Service Provider
gravetye-manor,United Kingdom,20/5/2024,"Contracts, Financial data, Customer's data",Hospitality
NHS Scotland,United Kingdom,20/5/2024,"Confidential, Financial data, Customer's data, Incidents, Contracts, HR",Healthcare
Sobieski Services Inc,United States,20/5/2024,"Confidential, Contracts, HR, Customer's data, Financial data, Incidents",Real Estate
Leicester City Council,United Kingdom,20/5/2024,"Confidential, Financial data, Customer's data, Contracts, HR, Incidents",Government
US-Saudi Arabian Business Council,United States,22/5/2024,"Financial data, Confidential, Financial data, Customer's data, Contracts, Confidential, Customer's data, Contracts, Financial data, Confidential",Consulting
Global Export Marketing Co. Ltd.,United States,22/5/2024,"Confidential, Financial data, Contracts, Customer's data, HR",F&B
Pro Metals LLC,United States,22/5/2024,"Contracts, Financial data, Confidential, HR, Incidents, Customer's data",Service Provider
Hardeman County Community Health Center,United States,29/5/2024,"Confidential, Financial data, Customer's data",Healthcare
Trylon Srl,Canada,30/5/2024,"Confidential, Contracts, Financial data, Customer's data, HR",Manufacturing
Ingo Money Inc,United States,31/5/2024,"Confidential, Contracts, Customer's data, Financial data",Financial Services
It4 Solutions Robras Corp,United States,10/6/2024,"Confidential, Financial data, Customer's data, Contracts",Technology
WEL Partners,Canada,11/6/2024,"Confidential, Financial data, Customer's data, Contracts",Legal
Pifer's Auction & Realty,United States,13/6/2024,"Confidential, Financial data, Customer's data",Real Estate
Decatur Independent School District,United States,13/6/2024,"Confidential, Customer's data, Financial data, Incidents, HR",Education
Arkopharma,France,13/6/2024,"Confidential, Financial data, Customer's data, Incidents, HR, Contracts",Healthcare
Waterford Country School Inc,United States,13/6/2024,"Confidential, Customer's data, HR, Incidents, Financial data",Education
NELLESFRERES,Belgium,13/6/2024,"Contracts, Financial data, Confidential",Construction
Tech-Quip Inc,United States,17/6/2024,"Contracts, Customer's data, Financial data, Confidential",Manufacturing
Orange Public School District,United States,18/6/2024,"Confidential, Financial data, Customer's data, Incidents, HR",Education
Alam Flora Sdn Bhd,Malaysia,19/6/2024,"Confidential, Customer's data, Financial data",Waste Management
Livability,United Kingdom,19/6/2024,"Confidential, Customer's data, Financial data, HR, Incidents, Contracts",Non-Profit
EFU Life Assurance Ltd,Pakistan,23/6/2024,"Confidential, Incidents, Financial data, Customer's data, Contracts, HR",Insurance
Pacific American Fish Company Inc.,United States,23/6/2024,"Contracts, Financial data, Confidential, HR, Incidents, Customer's data",F&B
Florida Memorial University,United States,23/6/2024,"Customer's data, Incidents, Confidential, Financial data, Contracts, HR",Education
Greenpoint Technologies Inc,United States,24/6/2024,"Confidential, Customer's data, Financial data, Incidents, HR, Contracts",Aerospace
Universal Sewing Supply Inc,United States,25/6/2024,"Confidential, Financial data, Customer's data",Manufacturing
"Law Offices of John V. Orrick, P.L.",United States,27/6/2024,"Confidential, Financial data, Customer's data, Incidents",Legal
Leoch Battery Corp,United States,1/7/2024,"Confidential, Financial data, Customer's data",Energy
"CellNetix Pathology & Laboratories, LLC",United States,1/7/2024,"Confidential, Financial data, Customer's data, Contracts",Healthcare
Precision Technologies Group Ltd,United Kingdom,2/7/2024,"Confidential, Financial data, Customer's data",Technology
CORBETT EXTERMINATING Inc,United States,5/7/2024,"Confidential, Financial data, Customer's data",Service Provider
Benjamin Plumbing Inc,United States,5/7/2024,"Confidential, Financial data, Customer's data",Service Provider
DM Civil Construction Co,Australia,6/7/2024,Confidential,Construction
"Otolaryngology Associates, LLC",United States,16/7/2024,"Confidential, Financial data, Customer's data, HR",Healthcare
Hanzestrohm,Netherlands,17/7/2024,"Confidential, Financial data, HR",Service Provider
Lodan Electronics Inc,United States,17/7/2024,"Confidential, Financial data, Customer's data",Manufacturing
SISU Healthcare Solutions,United States,23/7/2024,"Contracts, Financial data, Confidential, Customer's data",Healthcare
DBK Partners,Czechia,5/8/2024,"Confidential, Financial data, Contracts, Financial data, Customer's data",Legal
Direct Mail,Australia,5/8/2024,Confidential,Technology
Cleveland City School District,United States,14/8/2024,"Financial data, Confidential, Incidents, HR",Education
Village Building,Australia,18/8/2024,Confidential,Construction
UNITE HERE!,United States,18/8/2024,"Confidential, Financial data, Customer's data",Labor Union
Vicon,United States,18/8/2024,Confidential,Electronics
Blueline Associates,United States,22/8/2024,"Confidential, Customer's data",Construction
BPG Building Partners Group,Germany,22/8/2024,Confidential,Construction
