Name,Countries,Date,Tags,Sector,
Sobieski Services Inc,United States,30/4/2024,"Confidential, Contracts, HR, Customer's data, Financial data, Incidents",Real Estate,
Leicester City Council,United Kingdom,7/5/2024,"Confidential, Financial data, Customer's data, Contracts, HR, Incidents",Government,
US-Saudi Arabian Business Council,United States,17/4/2024,"Financial data, Confidential, Financial data, Customer's data, Contracts, Confidential, Customer's data, Contracts, Financial data, Confidential",Consulting,
Global Export Marketing Co. Ltd.,United States,30/4/2024,"Confidential, Financial data, Contracts, Customer's data, HR",F&B,
Pro Metals LLC,United States,30/4/2024,"Contracts, Financial data, Confidential, HR, Incidents, Customer's data",Service Provider,
Hardeman County Community Health Center,United States,30/4/2024,"Confidential, Financial data, Customer's data",Healthcare,
Trylon Srl,Canada,30/4/2024,"Confidential, Contracts, Financial data, Customer's data, HR",Manufacturing,
Ingo Money Inc,United States,30/4/2024,"Confidential, Contracts, Customer's data, Financial data",Financial Services,
It4 Solutions Robras Corp,United States,30/4/2024,"Confidential, Financial data, Customer's data, Contracts",Technology,
WEL Partners,Canada,30/4/2024,"Confidential, Financial data, Customer's data, Contracts",Legal,
Pifer's Auction & Realty,United States,30/4/2024,"Confidential, Financial data, Customer's data",Real Estate,
Decatur Independent School District,United States,30/4/2024,"Confidential, Customer's data, Financial data, Incidents, HR",Education,
Arkopharma,France,30/4/2024,"Confidential, Financial data, Customer's data, Incidents, HR, Contracts",Healthcare,
Waterford Country School Inc,United States,30/4/2024,"Confidential, Customer's data, HR, Incidents, Financial data",Education,
NELLESFRERES,Belgium,29/4/2024,"Contracts, Financial data, Confidential",Construction,
Tech-Quip Inc,United States,28/4/2024,"Contracts, Customer's data, Financial data, Confidential",Manufacturing,
Orange Public School District,United States,28/4/2024,"Confidential, Financial data, Customer's data, Incidents, HR",Education,
Alam Flora Sdn Bhd,Malaysia,28/4/2024,"Confidential, Customer's data, Financial data",Waste Management,
Livability,United Kingdom,28/4/2024,"Confidential, Customer's data, Financial data, HR, Incidents, Contracts",Non-Profit,
EFU Life Assurance Ltd,Pakistan,28/4/2024,"Confidential, Incidents, Financial data, Customer's data, Contracts, HR",Insurance,
Pacific American Fish Company Inc.,United States,28/4/2024,"Contracts, Financial data, Confidential, HR, Incidents, Customer's data",F&B,
Florida Memorial University,United States,25/4/2024,"Customer's data, Incidents, Confidential, Financial data, Contracts, HR",Education,
Greenpoint Technologies Inc,United States,25/4/2024,"Confidential, Customer's data, Financial data, Incidents, HR, Contracts",Aerospace,
Universal Sewing Supply Inc,United States,25/4/2024,"Confidential, Financial data, Customer's data",Manufacturing,
"Law Offices of John V. Orrick, P.L.",United States,25/4/2024,"Confidential, Financial data, Customer's data, Incidents",Legal,
Leoch Battery Corp,United States,25/4/2024,"Confidential, Financial data, Customer's data",Energy,
"CellNetix Pathology & Laboratories, LLC",United States,25/4/2024,"Confidential, Financial data, Customer's data, Contracts",Healthcare,
Precision Technologies Group Ltd,Great Britain,25/4/2024,"Confidential, Financial data, Customer's data",Technology,
CORBETT EXTERMINATING Inc,United States,23/4/2024,"Confidential, Financial data, Customer's data",Service Provider,
Benjamin Plumbing Inc,United States,23/4/2024,"Confidential, Financial data, Customer's data",Service Provider,
DM Civil Construction Co,Australia,23/4/2024,Confidential,Construction,
"Otolaryngology Associates, LLC",United States,23/4/2024,"Confidential, Financial data, Customer's data, HR",Healthcare,
Hanzestrohm,Netherlands,23/4/2024,"Confidential, Financial data, HR",Service Provider,
Lodan Electronics Inc,United States,23/4/2024,"Confidential, Financial data, Customer's data",Manufacturing,
SISU Healthcare Solutions,United States,23/4/2024,"Contracts, Financial data, Confidential, Customer's data",Healthcare,
DBK Partners,Czechia,22/4/2024,"Confidential, Financial data, Contracts, Financial data, Customer's data",Legal,
Direct Mail,Australia,21/4/2024,Confidential,Technology,
Cleveland City School District,United States,21/4/2024,"Financial data, Confidential, Incidents, HR",Education,
Village Building,Australia,21/4/2024,Confidential,Construction,
UNITE HERE!,United States,21/4/2024,"Confidential, Financial data, Customer's data",Labor Union,
Vicon,United States,17/4/2024,Confidential,Electronics,
Blueline Associates,United States,17/4/2024,"Confidential, Customer's data",Construction,
BPG Building Partners Group,Germany,17/4/2024,Confidential,Construction,
Black Butte Coal,United States,17/4/2024,Confidential,Mining & Metals,
Springfield Area Chamber of Commerce,United States,16/4/2024,Confidential,Non-Profit,
PSEC Church,United States,16/4/2024,"Confidential, Financial data, Customer's data",Non-Profit,
Federal Labor Relations Authority,United States,16/4/2024,"Confidential, HR, Financial data, Incidents",Government,
Washington School For The Deaf,United States,16/4/2024,"Confidential, Financial data, Customer's data",Non-Profit,
Conception Reproductive Associates Colorado,United States,16/4/2024,"Confidential, Customer's data, Incidents",Healthcare,
WellLife Network,United States,13/4/2024,"Confidential, Financial data, Customer's data, Confidential, Confidential, Contracts, Financial data, Confidential, Confidential, Customer's data, Confidential, Financial data, Customer's data, Incidents",Non-Profit,
Yamaha Motor Philippines,Philippines,13/4/2024,"Confidential, Financial data, Confidential, Confidential, Financial data, Confidential, HR, Confidential, Confidential, Financial data, Confidential, Confidential, Confidential",Vehicle,
Liquid Environmental Solutions,United States,12/4/2024,"Financial data, Financial data, Financial data, HR, Confidential, Confidential, Confidential, Confidential",Waste Management,
Xerox,United States,9/4/2024,"Stocks, Confidential, Confidential, Confidential",Technology,
